Date,Close,Open,High,Low,Return,Return%,Log Return,Log Return-3d,Log Return-5d,SMA-5d,SMA-8d,SMA-13d,SMA-21d,EMA-5d,EMA-8d,EMA-12d,EMA-26d,RSI-14d,RSI-21d,UpperBollingerBand,LowerBollingerBand,MACD,Stoc%K,TR,ATR,Gain,Loss,,,,,
4/1/2025,5633.07,5597.53,5650.57,5558.52,37.9,0.006728125,1.57863921,-2.747404039,-2.813113754,5303.276667,5323.107778,5316.226429,5380.161364,5462.158711,5404.06566,5384.364535,5449.682851,59.00027628,50.64728757,5821.341888,4785.211445,-65.3183163,86.19056294,73.44,195.376,0,37.9,,,,,
3/31/2025,5611.85,5527.91,5627.56,5488.73,21.22,0.003781284,1.32674538,-2.33310454,-2.740046724,5408.123333,5350.717778,5348.63,5380.511818,5512.055808,5450.239958,5419.362299,5461.695233,62.53183719,50.96336988,5931.754051,4884.492616,-42.33293383,27.50734182,105.16,140.554,0,21.22,,,,,
3/28/2025,5580.94,5679.2,5685.89,5572.42,30.91,0.005538494,1.490099005,1.95438725,-2.704888019,5494.571667,5385.483333,5369.932857,5381.051818,5535.017205,5479.284412,5444.220407,5470.528178,58.68795153,50.44817765,5940.879042,5048.264292,-26.30777168,0,74.04,98.858,0,30.91,,,,,
3/27/2025,5693.31,5695.64,5732.28,5670.94,-112.37,-0.0197372,-2.050650381,-1.779884963,-2.472449264,5597.776667,5411.751111,5399.762143,5387.073636,5587.78147,5526.845654,5482.541883,5487.030535,61.46165542,53.54072174,5789.115816,5406.437517,-4.48865294,57.41658576,151.34,99.12,112.37,0,,,,,
3/26/2025,5712.2,5771.66,5783.62,5694.41,-18.89,-0.003306957,-1.276231958,-2.001517377,-1.615213335,5650.39,5492.798889,5422.302857,5395.412273,5629.254313,5568.035508,5517.873901,5503.709755,59.17498677,53.99693054,5730.939036,5569.840964,14.16414554,67.06862194,90.31,89.802,18.89,0,,,,,
3/25/2025,5776.65,5775.96,5786.95,5760.42,-64.45,-0.011156985,-1.809222922,-2.291613017,-2.157093949,5668.003333,5572.176667,5448.78,5406.841364,5678.386209,5614.394284,5557.685608,5523.927551,60.44263145,56.17557698,5766.741418,5569.265249,33.75805721,100,74.75,102.362,64.45,0,,,,,
3/24/2025,5767.57,5718.08,5775.14,5718.08,9.08,0.00157432,0.958085849,-1.870754945,-2.192344395,5690.42,5649.231111,5477.652143,5419.695909,5708.114139,5648.433332,5589.975515,5541.97514,61.60649166,58.65332361,5831.521451,5549.318549,48.00037483,92.01828411,58.57,80.812,0,9.08,,,,,
3/21/2025,5667.56,5630.73,5670.84,5603.1,100.01,0.017646042,2.000043427,1.649724186,-1.937618179,5699.705,5679.346667,5506.188571,5432.955,5694.596093,5652.683703,5601.911589,5551.277722,61.44065612,58.34629888,5840.052219,5559.357781,50.63386726,4.105133615,136.84,73.238,0,100.01,,,,,
3/20/2025,5662.89,5646.92,5711.15,5632.33,4.67,0.000824667,0.669316881,2.055989583,1.48315921,5713.363333,5678.448889,5520.902143,5450.006364,5684.027395,5654.951769,5611.292883,5559.545298,56.59450772,61.73495724,5797.911489,5628.815178,51.74758507,31.5414296,43.59,62.44,0,4.67,,,,,
3/19/2025,5675.29,5632.37,5715.33,5622.2,-12.4,-0.00218491,-1.093421685,1.965107586,1.567144045,5710.36,5683.14,5570.367857,5473.510455,5681.11493,5659.471376,5621.138594,5568.11898,81.47532043,59.63047094,5806.318298,5614.401702,53.01961372,100,52.44,68.498,12.4,0,,,,,
3/18/2025,5614.66,5654.53,5654.53,5597.76,60.63,0.010798517,1.782687568,1.723455672,2.209488205,5694.103333,5683.452222,5609.825714,5488.599545,5658.963287,5649.513292,5620.141887,5571.566463,75.5449711,58.1017257,5796.012379,5592.194288,48.57542405,0,20.76,63.384,0,60.63,,,,,
3/17/2025,5675.12,5635.6,5703.52,5631.12,-60.46,-0.010653519,-1.781468143,-1.087426457,1.965906915,5677.181667,5693.916667,5652.757143,5506.755,5664.348858,5655.203672,5628.600058,5579.237095,76.59751478,56.85453104,5776.694746,5577.668588,49.36296292,99.88944528,88.86,63.564,60.46,0,,,,,
3/14/2025,5638.94,5563.85,5645.27,5563.85,36.18,0.006416099,1.558468563,1.560504415,1.456669629,5655.743333,5687.875556,5670.072857,5517.769091,5655.879239,5651.589522,5630.190818,5583.659533,64.36784334,55.65936442,5701.171129,5610.315538,46.53128582,76.4453125,111.27,77.21,0,36.18,,,,,
3/13/2025,5521.52,5594.45,5597.78,5504.65,117.42,0.021265883,2.069742076,1.969136234,2.150357258,5631.403333,5666.688889,5659.397857,5523.021364,5611.092826,5622.685184,5613.472231,5579.056604,39.1165033,53.70731524,5678.314891,5584.491776,34.41562671,0,44.49,80.458,0,117.42,,,,,
3/12/2025,5599.3,5624.84,5642.19,5546.09,-77.78,-0.013891022,-1.890867939,1.87978378,1.880756445,5620.805,5646.983333,5656.985714,5533.745909,5607.161884,5617.488477,5611.291888,5580.556115,47.67574711,57.82893337,5734.120107,5507.489893,30.73577269,66.24084483,120.67,89.346,77.78,0,,,,,
3/11/2025,5572.07,5603.65,5636.3,5528.41,27.23,0.004886873,1.435047641,1.825231323,1.62930764,5603.601667,5625.261111,5654.144286,5547.565,5595.464589,5607.395482,5605.257751,5579.927514,47.2845675,52.94713731,5705.750623,5501.45271,25.33023723,20.32732829,37,100.782,0,27.23,,,,,
3/10/2025,5614.56,5705.37,5705.37,5564.02,-42.49,-0.007567824,-1.628286731,-1.968669702,1.782185866,5603.585,5619.372222,5656.545714,5554.731364,5601.829726,5608.987597,5606.688866,5582.492883,52.25922641,70.75130231,5709.752275,5497.417725,24.1959831,21.44551557,133.3,100.26,42.49,0,,,,,
3/7/2025,5770.2,5726.01,5783.01,5666.29,-155.64,-0.026973069,-2.192121222,-2.232742063,-2.1181324,5619.431667,5631.295556,5662.037857,5590.523636,5657.953151,5644.812575,5631.844425,5596.397114,54.88295886,72.14489036,5699.896298,5538.967036,35.44731125,73.22959787,168.45,100.54,155.64,0,,,,,
3/6/2025,5738.52,5785.87,5812.08,5711.64,31.68,0.005520587,1.500785173,-2.221283799,-2.336459734,5636.028333,5638.321111,5663.917857,5621.263182,5684.808767,5665.636448,5648.256052,5606.924735,51.64475329,70.52895013,5803.154189,5468.902478,41.33131694,54.35173412,41.88,99.27,0,31.68,,,,,
3/5/2025,5842.63,5781.36,5860.59,5742.35,-104.11,-0.01781903,-2.017492446,-2.358068163,-2.386195656,5689.546667,5663.651111,5668.630714,5656.197273,5737.415845,5704.968348,5678.159737,5624.384385,53.92840982,65.93284142,5849.007444,5530.085889,53.77535198,93.62410072,122.07,114.198,104.11,0,,,,,
3/4/2025,5778.15,5811.98,5865.08,5732.59,64.48,0.011159281,1.809425029,-0.900367129,-2.314035846,5719.355,5675.098889,5669.386429,5673.544091,5750.993897,5721.230937,5693.542854,5635.77443,50.5909426,54.50336134,5919.620284,5519.089716,57.76842385,18.3489212,30.65,102.444,0,64.48,,,,,
3/3/2025,5849.72,5968.33,5986.09,5810.91,-71.57,-0.012234774,-1.854731017,-2.046104787,-2.371363452,5765.63,5698.518889,5682.397857,5681.669091,5783.902598,5749.784062,5717.570107,5651.62225,60.5083416,58.85246839,5915.961651,5615.298349,65.94785709,40.58406578,207.94,101.906,71.57,0,,,,,
2/28/2025,5954.5,5856.74,5959.4,5837.66,-104.78,-0.017596776,-2.020278394,-2.048713638,-2.265525335,5822.286667,5746.627778,5703.227143,5696.279545,5840.768398,5795.276493,5754.02086,5674.057639,65.08041578,63.10595687,5908.765735,5735.807599,79.96322095,99.12315216,109.68,107.142,104.78,0,,,,,
2/27/2025,5861.57,5981.88,5993.69,5858.78,92.93,0.015854114,1.968155937,-1.921270186,-2.090081618,5837.515,5775.768889,5716.532857,5707.630455,5847.702266,5810.008383,5770.566881,5687.947444,58.89266551,60.24758079,5984.672331,5690.357669,82.61943798,11.14350197,39.19,108.33,0,92.93,,,,,
2/26/2025,5956.06,5970.87,6009.82,5932.69,-94.49,-0.015864514,-1.975385849,-2.026696656,-2.054727932,5873.771667,5818.434444,5740.918571,5724.681364,5883.82151,5842.464298,5799.104284,5707.807633,65.78742925,59.72161584,5986.920983,5760.62235,91.29665145,77.65450362,148.25,84.422,94.49,0,,,,,
